scrutin_ref,senateur_ref,position
senat-2020-3,19669L,pour
senat-2020-3,19413M,pour
senat-2020-3,01062T,pour
senat-2020-3,20064C,pour
senat-2020-3,11041F,pour
senat-2020-3,19527W,pour
senat-2020-3,11066Q,pour
senat-2020-3,14133K,contre
senat-2020-3,20032T,contre
senat-2020-3,19760E,contre
senat-2020-3,14189C,contre
senat-2020-3,19717B,contre
senat-2020-3,04085P,contre
senat-2020-3,19515S,contre
senat-2020-3,20112S,contre
senat-2020-3,20076G,contre
senat-2020-3,19651A,contre
senat-2020-3,05008E,contre
senat-2020-3,19741B,contre
senat-2020-3,19667J,contre
senat-2020-3,19543W,contre
senat-2020-3,20024T,contre
senat-2020-3,20022R,contre
senat-2020-3,19954N,contre
senat-2020-3,19575F,contre
senat-2020-3,20116W,contre
senat-2020-3,14030Q,contre
senat-2020-3,96004D,contre
senat-2020-3,17367Q,contre
senat-2020-3,20086J,contre
senat-2020-3,11040E,contre
senat-2020-3,19367Y,contre
senat-2020-3,14069U,contre
senat-2020-3,19415P,contre
senat-2020-3,20042V,contre
senat-2020-3,14089Y,contre
senat-2020-3,20078J,contre
senat-2020-3,20138D,contre
senat-2020-3,19966S,contre
senat-2020-3,14105F,contre
senat-2020-3,19643A,contre
senat-2020-3,19747H,contre
senat-2020-3,20152B,contre
senat-2020-3,19383Y,contre
senat-2020-3,17737W,contre
senat-2020-3,19621T,contre
senat-2020-3,19758L,contre
senat-2020-3,04047H,contre
senat-2020-3,19782L,contre
senat-2020-3,20090E,contre
senat-2020-3,14207L,contre
senat-2020-3,20104S,contre
senat-2020-3,14255U,contre
senat-2020-3,11101A,contre
senat-2020-3,04042C,contre
senat-2020-3,14053L,contre
senat-2020-3,14083S,contre
senat-2020-3,11053K,contre
senat-2020-3,19545Y,contre
senat-2020-3,11103C,contre
senat-2020-3,19629C,contre
senat-2020-3,19721W,contre
senat-2020-3,14329V,contre
senat-2020-3,14038Y,contre
senat-2020-3,11080N,contre
senat-2020-3,14195A,contre
senat-2020-3,08028W,contre
senat-2020-3,20144B,contre
senat-2020-3,19467C,contre
senat-2020-3,18083K,contre
senat-2020-3,19701S,contre
senat-2020-3,14267Y,contre
senat-2020-3,11031D,contre
senat-2020-3,19681G,contre
senat-2020-3,11115U,contre
senat-2020-3,11056N,contre
senat-2020-3,14357A,contre
senat-2020-3,04086Q,contre
senat-2020-3,19693L,contre
senat-2020-3,14259Y,contre
senat-2020-3,04008A,contre
senat-2020-3,17589D,contre
senat-2020-3,98018T,contre
senat-2020-3,19719D,contre
senat-2020-3,14327T,contre
senat-2020-3,19663E,contre
senat-2020-3,20140W,contre
senat-2020-3,17229F,contre
senat-2020-3,19659J,contre
senat-2020-3,10006L,contre
senat-2020-3,14041T,contre
senat-2020-3,14217N,contre
senat-2020-3,01024M,contre
senat-2020-3,14215L,contre
senat-2020-3,19577H,contre
senat-2020-3,14042U,contre
senat-2020-3,04071H,contre
senat-2020-3,20124W,contre
